Istanza,Combinazione,Soluzione_PW,Tempo_PW,Media_Obj,Std_Obj,Media_Tempo,Std_Tempo,Gap_Medio_%
A-n54-k7-149.sppcc,1,-12492.0,9.234485,-194.9,1411.85,0.0258,0.0002,98.44
A-n54-k7-149.sppcc,2,-12492.0,9.234485,-2736.1,1005.73,0.093,0.008,78.1
A-n54-k7-149.sppcc,3,-12492.0,9.234485,-4181.5,0.0,0.3771,0.0145,66.53
A-n54-k7-149.sppcc,4,-12492.0,9.234485,-3795.1,864.02,0.3581,0.0549,69.62
A-n60-k9-57.sppcc,1,-1000.0,27.294795,-500.0,0.0,0.0318,0.0034,50.0
A-n60-k9-57.sppcc,2,-1000.0,27.294795,-500.0,0.0,0.1053,0.0028,50.0
A-n60-k9-57.sppcc,3,-1000.0,27.294795,-500.0,0.0,0.4312,0.0047,50.0
A-n60-k9-57.sppcc,4,-1000.0,27.294795,-500.0,0.0,0.433,0.0071,50.0
A-n80-k10-14.sppcc,1,-105283.0,65.785667,-15594.5,0.0,0.0137,0.0003,85.19
A-n80-k10-14.sppcc,2,-105283.0,65.785667,-15594.5,0.0,0.0522,0.0007,85.19
A-n80-k10-14.sppcc,3,-105283.0,65.785667,-15594.5,0.0,0.2206,0.0016,85.19
A-n80-k10-14.sppcc,4,-105283.0,65.785667,-15594.5,0.0,0.2253,0.0041,85.19
B-n45-k6-54.sppcc,1,-74278.0,96.11675,-289250.5,0.0,0.0057,0.0001,-289.42
B-n45-k6-54.sppcc,2,-74278.0,96.11675,-289250.5,0.0,0.0298,0.0055,-289.42
B-n45-k6-54.sppcc,3,-74278.0,96.11675,-289250.5,0.0,0.1221,0.0019,-289.42
B-n45-k6-54.sppcc,4,-74278.0,96.11675,-289250.5,0.0,0.1209,0.0003,-289.42
B-n78-k10-70.sppcc,1,-44333.0,34.470044,-1500.0,0.0,0.0316,0.0025,96.62
B-n78-k10-70.sppcc,2,-44333.0,34.470044,-1500.0,0.0,0.1377,0.0049,96.62
B-n78-k10-70.sppcc,3,-44333.0,34.470044,-1500.0,0.0,0.601,0.0348,96.62
B-n78-k10-70.sppcc,4,-44333.0,34.470044,-1500.0,0.0,0.6022,0.0162,96.62
M-n101-k10-97.sppcc,1,-32628.0,60.905079,3215.8,5425.48,0.0522,0.0071,109.86
M-n101-k10-97.sppcc,2,-32628.0,60.905079,-11229.4,5136.81,0.3164,0.0413,65.58
M-n101-k10-97.sppcc,3,-32628.0,60.905079,-10016.4,6073.82,1.3322,0.2818,69.3
M-n101-k10-97.sppcc,4,-32628.0,60.905079,-11016.4,4831.43,1.5335,0.2005,66.24
M-n151-k12-15.sppcc,1,-79996.0,1040.815193,-18870.1,1818.07,0.1663,0.0046,76.41
M-n151-k12-15.sppcc,2,-79996.0,1040.815193,-21368.9,224.02,0.6544,0.0529,73.29
M-n151-k12-15.sppcc,3,-79996.0,1040.815193,-21205.3,182.91,2.7791,0.0654,73.49
M-n151-k12-15.sppcc,4,-79996.0,1040.815193,-21005.3,523.79,2.7404,0.2524,73.74
M-n200-k17-12.sppcc,1,-121210.0,712.354138,-20920.7,519.21,0.0948,0.0071,82.74
M-n200-k17-12.sppcc,2,-121210.0,712.354138,-22721.5,547.72,0.5075,0.0039,81.25
M-n200-k17-12.sppcc,3,-121210.0,712.354138,-24841.5,3398.82,2.5555,0.6198,79.51
M-n200-k17-12.sppcc,4,-121210.0,712.354138,-40896.5,20858.43,2.7132,0.5093,66.26
P-n76-k4-41.sppcc,1,-88276.0,106.791573,-56213.5,0.0,0.1328,0.0123,36.32
P-n76-k4-41.sppcc,2,-88276.0,106.791573,-56344.5,292.92,0.677,0.0123,36.17
P-n76-k4-41.sppcc,3,-88276.0,106.791573,-56213.5,0.0,3.0852,0.0582,36.32
P-n76-k4-41.sppcc,4,-88276.0,106.791573,-56764.3,910.76,3.0624,0.0621,35.7
P-n76-k5-16.sppcc,1,-107633.0,39.989066,-67605.8,5991.04,0.0921,0.0078,37.19
P-n76-k5-16.sppcc,2,-107633.0,39.989066,-78183.2,8082.82,0.4074,0.0332,27.36
P-n76-k5-16.sppcc,3,-107633.0,39.989066,-79063.2,9743.91,1.8394,0.0828,26.54
P-n76-k5-16.sppcc,4,-107633.0,39.989066,-75608.2,8175.51,1.8065,0.037,29.75
P-n101-k4-174.sppcc,1,-17702.0,214.925982,1097.6,269.67,0.3033,0.0084,106.2
P-n101-k4-174.sppcc,2,-17702.0,214.925982,1336.6,535.04,1.2929,0.0414,107.55
P-n101-k4-174.sppcc,3,-17702.0,214.925982,977.0,0.0,7.9018,0.2288,105.52
P-n101-k4-174.sppcc,4,-17702.0,214.925982,977.0,0.0,8.0895,0.2593,105.52
