Istanza,Combinazione,Seed,Soluzione_PW,Tempo_PW,Soluzione_Euristica,Tempo_Euristica,Gap_%
A-n54-k7-149.sppcc,1,12345,-12492.0,9.234485,436.5,0.026002,103.49
A-n54-k7-149.sppcc,1,42,-12492.0,9.234485,436.5,0.025968,103.49
A-n54-k7-149.sppcc,1,100,-12492.0,9.234485,-2720.5,0.026075,78.22
A-n54-k7-149.sppcc,1,999,-12492.0,9.234485,436.5,0.025627,103.49
A-n54-k7-149.sppcc,1,2026,-12492.0,9.234485,436.5,0.025537,103.49
A-n54-k7-149.sppcc,2,12345,-12492.0,9.234485,-2720.5,0.095485,78.22
A-n54-k7-149.sppcc,2,42,-12492.0,9.234485,-4181.5,0.084814,66.53
A-n54-k7-149.sppcc,2,100,-12492.0,9.234485,-2720.5,0.100924,78.22
A-n54-k7-149.sppcc,2,999,-12492.0,9.234485,-1337.5,0.08418,89.29
A-n54-k7-149.sppcc,2,2026,-12492.0,9.234485,-2720.5,0.099432,78.22
A-n54-k7-149.sppcc,3,12345,-12492.0,9.234485,-4181.5,0.391724,66.53
A-n54-k7-149.sppcc,3,42,-12492.0,9.234485,-4181.5,0.390575,66.53
A-n54-k7-149.sppcc,3,100,-12492.0,9.234485,-4181.5,0.36331,66.53
A-n54-k7-149.sppcc,3,999,-12492.0,9.234485,-4181.5,0.361101,66.53
A-n54-k7-149.sppcc,3,2026,-12492.0,9.234485,-4181.5,0.37896,66.53
A-n54-k7-149.sppcc,4,12345,-12492.0,9.234485,-4181.5,0.403434,66.53
A-n54-k7-149.sppcc,4,42,-12492.0,9.234485,-4181.5,0.381127,66.53
A-n54-k7-149.sppcc,4,100,-12492.0,9.234485,-4181.5,0.375634,66.53
A-n54-k7-149.sppcc,4,999,-12492.0,9.234485,-2249.5,0.262802,81.99
A-n54-k7-149.sppcc,4,2026,-12492.0,9.234485,-4181.5,0.367568,66.53
A-n60-k9-57.sppcc,1,12345,-1000.0,27.294795,-500.0,0.030393,50.0
A-n60-k9-57.sppcc,1,42,-1000.0,27.294795,-500.0,0.029982,50.0
A-n60-k9-57.sppcc,1,100,-1000.0,27.294795,-500.0,0.030953,50.0
A-n60-k9-57.sppcc,1,999,-1000.0,27.294795,-500.0,0.030037,50.0
A-n60-k9-57.sppcc,1,2026,-1000.0,27.294795,-500.0,0.037859,50.0
A-n60-k9-57.sppcc,2,12345,-1000.0,27.294795,-500.0,0.105946,50.0
A-n60-k9-57.sppcc,2,42,-1000.0,27.294795,-500.0,0.101821,50.0
A-n60-k9-57.sppcc,2,100,-1000.0,27.294795,-500.0,0.105718,50.0
A-n60-k9-57.sppcc,2,999,-1000.0,27.294795,-500.0,0.103819,50.0
A-n60-k9-57.sppcc,2,2026,-1000.0,27.294795,-500.0,0.109367,50.0
A-n60-k9-57.sppcc,3,12345,-1000.0,27.294795,-500.0,0.431752,50.0
A-n60-k9-57.sppcc,3,42,-1000.0,27.294795,-500.0,0.425078,50.0
A-n60-k9-57.sppcc,3,100,-1000.0,27.294795,-500.0,0.428492,50.0
A-n60-k9-57.sppcc,3,999,-1000.0,27.294795,-500.0,0.437472,50.0
A-n60-k9-57.sppcc,3,2026,-1000.0,27.294795,-500.0,0.433293,50.0
A-n60-k9-57.sppcc,4,12345,-1000.0,27.294795,-500.0,0.43984,50.0
A-n60-k9-57.sppcc,4,42,-1000.0,27.294795,-500.0,0.440983,50.0
A-n60-k9-57.sppcc,4,100,-1000.0,27.294795,-500.0,0.431209,50.0
A-n60-k9-57.sppcc,4,999,-1000.0,27.294795,-500.0,0.427999,50.0
A-n60-k9-57.sppcc,4,2026,-1000.0,27.294795,-500.0,0.425065,50.0
A-n80-k10-14.sppcc,1,12345,-105283.0,65.785667,-15594.5,0.013599,85.19
A-n80-k10-14.sppcc,1,42,-105283.0,65.785667,-15594.5,0.013791,85.19
A-n80-k10-14.sppcc,1,100,-105283.0,65.785667,-15594.5,0.013401,85.19
A-n80-k10-14.sppcc,1,999,-105283.0,65.785667,-15594.5,0.014169,85.19
A-n80-k10-14.sppcc,1,2026,-105283.0,65.785667,-15594.5,0.01335,85.19
A-n80-k10-14.sppcc,2,12345,-105283.0,65.785667,-15594.5,0.051996,85.19
A-n80-k10-14.sppcc,2,42,-105283.0,65.785667,-15594.5,0.051671,85.19
A-n80-k10-14.sppcc,2,100,-105283.0,65.785667,-15594.5,0.052637,85.19
A-n80-k10-14.sppcc,2,999,-105283.0,65.785667,-15594.5,0.053153,85.19
A-n80-k10-14.sppcc,2,2026,-105283.0,65.785667,-15594.5,0.051366,85.19
A-n80-k10-14.sppcc,3,12345,-105283.0,65.785667,-15594.5,0.220668,85.19
A-n80-k10-14.sppcc,3,42,-105283.0,65.785667,-15594.5,0.219551,85.19
A-n80-k10-14.sppcc,3,100,-105283.0,65.785667,-15594.5,0.2233,85.19
